Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Damage Description
1962,12,31,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,2,,5,,5,,,5,,5,,
1963,3,17,,,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,T,15,,,,,15,,,,
1963,3,18,1942,,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,5,"P,T,M,A",1028,,624,,,1028,,624,,
1963,5,5,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,T,1,,,,,1,,,,
1963,5,16,,4292,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,3,,120,,,,,120,,,,
1963,5,21,,,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,,,,,,,,,,
1963,9,5,,,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717,Caldera,2,,2,,,,,2,,,,
1963,9,28,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,M,7,,,,,7,,,,
1963,12,10,,,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,"M,T",40,,,,400,40,,,,2
1964,1,1,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,,1,,3,,,1,,3,,
1964,3,3,,,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M,25,,,,,25,,,,
1964,12,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,,114,,,,,114,,,,
1965,9,28,1977,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,"P,W",355,,,,,355,,,,1
1966,1,13,5478,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796,Stratovolcano,3,,,,,,,,,,,
1966,4,26,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,"M,m,P",215,78,86,,,215,78,86,,
1966,8,12,,,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,4,"P,M,I",39,,1000,,,39,,1000,,
1966,8,14,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,4,,,,,,,,,,,1
1967,7,8,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,3,,,,,,,,,,,1
1967,8,31,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,M,3,,,,,3,,,,1
1967,12,4,1992,,Deception Island,Antarctica,Antarctica,-63.001,-60.652,602,Caldera,3,,,,,,,,,,,
1968,4,21,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,"M,P",6,,,,,6,,,,
1968,7,29,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,"P,T",80,,,,,80,,,,
1969,1,7,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P,3,,,,,3,,,,
1969,1,28,,,Iya,Lesser Sunda Is,Indonesia,-8.891,121.641,618,Stratovolcano,3,"T,m",2,,10,,287,2,,10,,
1969,3,21,2872,,Didicas,Luzon-N of,Philippines,19.077,122.202,228,Compound volcano,2,W,,,,,,3,,,,
1970,5,5,,,Hekla,Iceland-S,Iceland,63.983,-19.666,1490,Stratovolcano,3,,,,,,,,,,,1
1971,8,12,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,3,M,5,,,,,3,,,,
1971,9,6,2043,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796,Stratovolcano,2,,,,,,,,,,,
1971,9,14,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,"M,T",10,,,,,10,,,,
1971,10,28,,,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,2,,,,,,,,,,,1
